fg,region,population,gdp_per_capita,hdi,capital,gdp,gdp_per_capita_decile_rank
181,Haryana,27388008,3200,708,,87641625600,4
182,Bangladesh,161376708,1698,614,,274017650184,2
183,Assam,34586234,1000,614,,34586234000,0
184,Myanmar,53708320,1326,584,,71217232320,1
185,Nepal,28095714,1026,579,,28826202564,0
186,Mizoram,1205974,2000,705,,2411948000,2
187,Manipur,3008546,880,696,,2647520480,0
188,Nagaland,2189297,1400,679,,3065015800,1
189,Himachal Pradesh,7316708,2500,725,,18291770000,3
190,Meghalaya,3276323,1200,656,,3931587600,0
191,Tripura,4057847,1500,663,,6086770500,1
192,Pakistan,212228286,1473,560,,312612265278,1
193,Afghanistan,37171921,521,496,,19366570841,0
